Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity ,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,6,1,6,10,2,80,1208925819614629174706177,80.0,2,128
2,7,2,7,9,2,72,4722366482869645213824,79.0,2,128
3,8,3,8,8,2,64,18446744073709558177,76.67970000576925,2,128
4,9,4,9,7,2,56,72057594038190080,74.0,2,128
5,10,5,10,6,2,48,281474986476281,71.21928094887362,2,128
10,12,10,12,4,2,32,1004294967296,71.86313713864834,2,128
20,12,20,12,4,2,32,4096004294967296,83.86313713864836,2,128
25,13,25,13,3,2,24,1490116119401542841,84.37013046707142,2,128
30,14,30,14,2,2,16,478296900000000065536,84.69646833851927,2,128
50,16,50,16,0,2,0,1525878906250000000000000001,90.30169903639559,2,128
100,16,100,16,0,2,0,100000000000000000000000000000001,106.30169903639559,2,128
