Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity ,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,4,1,4,12,2,96,79228162514264337593543950337,96.0,2,128
2,5,2,5,11,2,88,309485009821345068724781088,93.0,2,128
3,9,3,9,7,2,56,72057594037947619,70.26466250649041,2,128
4,10,4,10,6,2,48,281474977759232,68.0,2,128
5,10,5,10,6,2,48,281474986476281,71.21928094887362,2,128
10,12,10,12,4,2,32,1004294967296,71.86313713864834,2,128
20,12,20,12,4,2,32,4096004294967296,83.86313713864836,2,128
25,13,25,13,3,2,24,1490116119401542841,84.37013046707142,2,128
30,14,30,14,2,2,16,478296900000000065536,84.69646833851927,2,128
50,14,50,14,2,2,16,610351562500000000065536,95.01398665684614,2,128
100,15,100,15,1,2,8,1000000000000000000000000000256,107.65784284662087,2,128
